postId,slug,previewImage,title,creatorId,collectionId,upvotes,views,reads,createdAt,firstPublishedAt,visibility,firstPublishedAtBucket,readingTime,syndicatedViews,claps,updateNotificationSubscribers,isSeries,internalReferrerViews,friendsLinkViews,primaryTopic,type
a74f7daa255a,sharing-100k-folders-with-the-box-platform,"{'id': '1*34JGhQnkuh8bsaR49EAeww.jpeg', 'originalWidth': 640, 'originalHeight': 427, 'isFeatured': True}",Sharing 100k folders with the Box Platform,19badb385e7,a995c24848a3,1,37,12,1666211625539,1667304117032,0,November 2022,4,0,1,0,False,9,0,"{'topicId': 'decb52b64abf', 'slug': 'programming', 'createdAt': 1493934116328, 'deletedAt': 0, 'image': {'id': '1*iPa136b1cGEO7lvoXg6uHQ@2x.jpeg', 'originalWidth': 6016, 'originalHeight': 4016}, 'name': 'Programming', 'description': 'The good, the bad, the buggy.', 'relatedTopics': [], 'visibility': 1, 'relatedTags': [], 'relatedTopicIds': [], 'seoTitle': 'Programming News and Articles\u200a—\u200aMedium', 'type': 'Topic'}",PostStat
db38b93a461d,new-box-cli-automation-templates-in-the-admin-console,"{'id': '1*0uSZSr09mnJD0fG6s6nFtA.png', 'originalWidth': 3578, 'originalHeight': 2030, 'isFeatured': True}",New! Box CLI automation templates in the admin console,246952a91969,a995c24848a3,0,20,9,1666986471186,1667227231892,0,October 2022,1,1,0,0,False,3,0,,PostStat
509384213e24,コンテンツプレビューui-elementの注釈機能,"{'id': '0*2jk3n0g2baR5Zq4f.png', 'originalWidth': 630, 'originalHeight': 393, 'isFeatured': True}",コンテンツプレビューUI Elementの注釈機能,5c489a4342f7,a995c24848a3,0,5,4,1666941435959,1666941990295,0,October 2022,1,2,0,0,False,5,0,,PostStat
6d471ac65f86,新機能-開発者コンソールのv2-webhook,"{'id': '0*RwSqpRvgpKfNdasL.png', 'originalWidth': 630, 'originalHeight': 250, 'isFeatured': True}",新機能: 開発者コンソールのV2 Webhook,5c489a4342f7,a995c24848a3,0,3,1,1666940327078,1666941984892,0,October 2022,5,2,0,0,False,2,0,,PostStat
b6011fa24c5,boxの統合について,"{'id': '0*aqDyNULEwk45PbEb.png', 'originalWidth': 630, 'originalHeight': 429, 'isFeatured': True}",Boxの統合について,5c489a4342f7,a995c24848a3,0,9,3,1666938990822,1666941976957,0,October 2022,13,1,0,0,False,5,0,,PostStat
9c5e1382d03d,annotations-in-content-preview-ui-element,"{'id': '1*dMZqn-QCgDWyEiiRHEuiMg.png', 'originalWidth': 1024, 'originalHeight': 639, 'isFeatured': True}",Annotations in Content Preview UI Element,f5f89a887525,a995c24848a3,0,87,76,1666110357540,1666861330798,0,October 2022,1,3,0,0,False,9,0,,PostStat
bbb30eeb6839,new-webhooks-v2-in-the-developer-console,"{'id': '1*26UoSUu6uorLmTigsxtjbw.png', 'originalWidth': 3584, 'originalHeight': 1460, 'isFeatured': True}",NEW! Webhooks V2 in the Developer Console,246952a91969,a995c24848a3,0,91,26,1666632125874,1666716684609,0,October 2022,4,2,0,0,False,14,0,,PostStat
6258891d95c4,lets-talk-about-integrating-box,"{'id': '1*IEn0I-oDs9weTycw3eC0xw.png', 'originalWidth': 928, 'originalHeight': 476, 'isFeatured': True}",Let’s talk about integrating Box,9bfce076b32f,a995c24848a3,2,150,47,1662453768303,1666189155912,0,October 2022,8,2,2,0,False,28,0,,PostStat
4482302d0e1,box-platformのさらなる利用方法,"{'id': '0*w55oY-wZFnpWjLPB.jpeg', 'originalWidth': 640, 'originalHeight': 427, 'isFeatured': True}",Box Platformのさらなる利用方法,5c489a4342f7,a995c24848a3,0,18,8,1665979140460,1665987407265,0,October 2022,4,4,0,0,False,10,0,,PostStat
9264a0efb0a,hooked-on-the-box-platform,"{'id': '1*X5VKQbGG3bszP-A_0qBPGA.jpeg', 'originalWidth': 640, 'originalHeight': 427, 'isFeatured': True}",Hooked on the Box Platform,19badb385e7,a995c24848a3,2,150,58,1664985129320,1665668646656,0,October 2022,3,2,49,0,False,47,0,"{'topicId': 'decb52b64abf', 'slug': 'programming', 'createdAt': 1493934116328, 'deletedAt': 0, 'image': {'id': '1*iPa136b1cGEO7lvoXg6uHQ@2x.jpeg', 'originalWidth': 6016, 'originalHeight': 4016}, 'name': 'Programming', 'description': 'The good, the bad, the buggy.', 'relatedTopics': [], 'visibility': 1, 'relatedTags': [], 'relatedTopicIds': [], 'seoTitle': 'Programming News and Articles\u200a—\u200aMedium', 'type': 'Topic'}",PostStat
6f97a6d3281b,congratulations-to-our-2022-box-hackathon-for-good-winning-teams,"{'id': '0*PNg6aGXtqA4Kzts5.png', 'originalWidth': 1400, 'originalHeight': 953, 'isFeatured': True}",Congratulations to our 2022 Box Hackathon for Good winning teams,246952a91969,a995c24848a3,0,129,56,1664995586405,1665496876298,0,October 2022,3,2,0,0,False,15,0,,PostStat
da2de3ceaa74,box-cliを使用したユーザープロビジョニングの自動化,"{'id': '0*vOw1_5oONk32DHSp.png', 'originalWidth': 770, 'originalHeight': 741, 'isFeatured': True}",Box CLIを使用したユーザープロビジョニングの自動化,5c489a4342f7,a995c24848a3,0,32,25,1665460131598,1665468020922,0,October 2022,2,1,0,0,False,11,0,,PostStat
977959faf0dc,automate-user-provisioning-with-the-box-cli,"{'id': '0*fxgYFYiJ5MA1_Ru2.png', 'originalWidth': 770, 'originalHeight': 741, 'isFeatured': True}",Automate user provisioning with the Box CLI,246952a91969,a995c24848a3,0,105,45,1664893842113,1665160513589,0,October 2022,1,1,0,0,False,15,0,,PostStat
4d121b93dcfe,box-platformの使用,"{'id': '0*AKG5OiZwX_BQbri9.jpeg', 'originalWidth': 640, 'originalHeight': 427, 'isFeatured': True}",Box Platformの使用,5c489a4342f7,a995c24848a3,0,33,7,1664769137759,1664781878012,0,October 2022,6,8,0,0,False,8,0,,PostStat
bec2724a73a4,box-for-salesforce開発の入門ガイド-パート1,"{'id': '0*_c5YvPN2ZKeQmRz9.png', 'originalWidth': 940, 'originalHeight': 485, 'isFeatured': True}",Box for Salesforce開発の入門ガイド: パート1,5c489a4342f7,a995c24848a3,0,129,30,1663825994445,1664781876456,0,October 2022,20,8,0,0,False,19,0,,PostStat
94ced33c2c86,dive-into-the-box-platform,"{'id': '1*-fPuSbaK6ioNUl4CPQH38Q.jpeg', 'originalWidth': 640, 'originalHeight': 427, 'isFeatured': True}",Dive into the Box Platform,19badb385e7,a995c24848a3,1,172,74,1662990680580,1664285924347,0,September 2022,4,13,1,0,False,43,0,,PostStat
824ab538ea13,getting-started-with-box-for-salesforce-development-part-1,"{'id': '1*HIPzh8gL6QE2U1pccGgUyg.png', 'originalWidth': 940, 'originalHeight': 485, 'isFeatured': True}",Getting started with Box for Salesforce development: Part 1,246952a91969,a995c24848a3,4,645,77,1663599833675,1663795014658,0,September 2022,13,4,34,0,False,140,0,,PostStat
597d5d18efd9,last-call-to-sign-up-for-our-hackathon-for-good,"{'id': '1*hm6_5FqZJjddulR6pLlX1A.png', 'originalWidth': 1762, 'originalHeight': 1200, 'isFeatured': True}",LAST CALL to sign up for our Hackathon For Good,7e4cb8ebf639,a995c24848a3,0,43,24,1663082090648,1663087769809,0,September 2022,1,1,0,0,False,8,0,,PostStat
7eea2cde60e0,box-python-sdkとjwtの使用,"{'id': '0*eR8PuUoIWoPvsWbN.png', 'originalWidth': 1080, 'originalHeight': 729, 'isFeatured': True}",Box Python SDKとJWTの使用,5c489a4342f7,a995c24848a3,1,166,42,1662339942179,1662358939879,0,September 2022,7,1,1,0,False,18,0,,PostStat
32722b1e4d67,getting-started-with-box-python-sdk-and-jwt,"{'id': '1*2FZ8PONzxo0OQlBruwM0Ag.png', 'originalWidth': 1511, 'originalHeight': 1020, 'isFeatured': True}",Getting started with Box Python SDK and JWT,19badb385e7,a995c24848a3,1,286,119,1659625272566,1661866215492,0,August 2022,5,3,1,0,False,37,0,,PostStat
3293061a66c5,box-python-sdkとoauth-2-0の使用,"{'id': '0*ihn2DlA2_fUsIt65.png', 'originalWidth': 839, 'originalHeight': 535, 'isFeatured': True}",Box Python SDKとOAuth 2.0の使用,5c489a4342f7,a995c24848a3,0,180,35,1661151905359,1661239493848,0,August 2022,9,0,0,0,False,21,0,,PostStat
77607441170d,getting-started-with-box-python-sdk-and-oauth-2-0,"{'id': '1*vc5wMgtLZSXFAhkDNr5Gaw.png', 'originalWidth': 839, 'originalHeight': 535, 'isFeatured': True}",Getting started with Box Python SDK and OAuth 2.0,19badb385e7,a995c24848a3,2,431,115,1657549329271,1660659977788,0,August 2022,6,0,100,0,False,73,0,,PostStat
ad0cbefc50ee,box-ui-elementsとpythonの使用-パート3,"{'id': '0*sHvuslwuAmOEC32D.png', 'originalWidth': 1350, 'originalHeight': 658, 'isFeatured': True}",Box UI ElementsとPythonの使用 (パート3),5c489a4342f7,a995c24848a3,0,56,11,1659950685769,1659952181496,0,August 2022,7,2,0,0,False,19,0,,PostStat
9dcba671fa9e,using-box-ui-elements-and-python-part-3,"{'id': '1*8S3XkKARBK5YxUG0hYQfgA.png', 'originalWidth': 2929, 'originalHeight': 1431, 'isFeatured': True}",Using Box UI Elements and Python (Part 3),19badb385e7,a995c24848a3,1,167,58,1656447987994,1659431247625,0,August 2022,4,1,1,0,False,79,0,"{'topicId': 'decb52b64abf', 'slug': 'programming', 'createdAt': 1493934116328, 'deletedAt': 0, 'image': {'id': '1*iPa136b1cGEO7lvoXg6uHQ@2x.jpeg', 'originalWidth': 6016, 'originalHeight': 4016}, 'name': 'Programming', 'description': 'The good, the bad, the buggy.', 'relatedTopics': [], 'visibility': 1, 'relatedTags': [], 'relatedTopicIds': [], 'seoTitle': 'Programming News and Articles\u200a—\u200aMedium', 'type': 'Topic'}",PostStat
9b0206ceb512,box-ui-elementsとpythonの使用-パート2,"{'id': '1*e4aczrCvp2x4VBoTry-nVw.png', 'originalWidth': 921, 'originalHeight': 451, 'isFeatured': True}",Box UI ElementsとPythonの使用 (パート2),5c489a4342f7,a995c24848a3,0,64,22,1659055788640,1659074404843,0,July 2022,7,0,0,0,False,19,0,,PostStat
fd5362d37c1d,using-box-ui-elements-and-python-part-2,"{'id': '1*O6BLupiW93iFxy8N0m8LIw.png', 'originalWidth': 12851, 'originalHeight': 6279, 'isFeatured': True}",Using Box UI Elements and Python (Part 2),19badb385e7,a995c24848a3,1,131,44,1656442681971,1658836974240,0,July 2022,4,0,1,0,False,57,0,"{'topicId': 'decb52b64abf', 'slug': 'programming', 'createdAt': 1493934116328, 'deletedAt': 0, 'image': {'id': '1*iPa136b1cGEO7lvoXg6uHQ@2x.jpeg', 'originalWidth': 6016, 'originalHeight': 4016}, 'name': 'Programming', 'description': 'The good, the bad, the buggy.', 'relatedTopics': [], 'visibility': 1, 'relatedTags': [], 'relatedTopicIds': [], 'seoTitle': 'Programming News and Articles\u200a—\u200aMedium', 'type': 'Topic'}",PostStat
7f6c78b86695,box-ui-elementsとpythonの使用-パート1,"{'id': '1*8S3XkKARBK5YxUG0hYQfgA.png', 'originalWidth': 2929, 'originalHeight': 1431, 'isFeatured': True}",Box UI ElementsとPythonの使用 (パート1),5c489a4342f7,a995c24848a3,0,139,40,1658377341949,1658380094843,0,July 2022,8,0,0,0,False,45,0,,PostStat
922f47299fd,using-box-ui-elements-and-python-sdk-part-1,"{'id': '1*8S3XkKARBK5YxUG0hYQfgA.png', 'originalWidth': 2929, 'originalHeight': 1431}",Using Box UI Elements and Python (Part 1),19badb385e7,a995c24848a3,6,712,184,1656335668888,1658240583781,0,July 2022,5,0,49,0,False,497,0,"{'topicId': '63c6f1f93ee', 'slug': 'javascript', 'createdAt': 1493945704961, 'deletedAt': 0, 'image': {'id': '1*5UyyDJ1ESD11yQNd1UVAaQ@2x.jpeg', 'originalWidth': 5472, 'originalHeight': 3648}, 'name': 'Javascript', 'description': 'An ode to code.', 'relatedTopics': [], 'visibility': 1, 'relatedTags': [], 'relatedTopicIds': [], 'seoTitle': 'Javascript News and Articles\u200a—\u200aMedium', 'type': 'Topic'}",PostStat
3352ea1d0fda,reactでのbox-ui-elementsの使用,"{'id': '0*hGfumOtQwdxjnc_c.png', 'originalWidth': 630, 'originalHeight': 315, 'isFeatured': True}",REACTでのBox UI Elementsの使用,5c489a4342f7,a995c24848a3,0,180,39,1657854242441,1658126265330,0,July 2022,6,0,0,0,False,32,0,,PostStat
dfa1dffb4e12,getting-started-with-box-ui-elements-using-react,"{'id': '1*6bl0ZLgJxSrCehCLoYbV2g.png', 'originalWidth': 1400, 'originalHeight': 700, 'isFeatured': True}",Getting started with Box UI Elements using REACT,19badb385e7,a995c24848a3,4,784,256,1655490109046,1657626823766,0,July 2022,5,0,16,0,False,343,0,"{'topicId': '63c6f1f93ee', 'slug': 'javascript', 'createdAt': 1493945704961, 'deletedAt': 0, 'image': {'id': '1*5UyyDJ1ESD11yQNd1UVAaQ@2x.jpeg', 'originalWidth': 5472, 'originalHeight': 3648}, 'name': 'Javascript', 'description': 'An ode to code.', 'relatedTopics': [], 'visibility': 1, 'relatedTags': [], 'relatedTopicIds': [], 'seoTitle': 'Javascript News and Articles\u200a—\u200aMedium', 'type': 'Topic'}",PostStat
93f5f4e2d24b,box-sign-apiの更新,"{'id': '0*BbZYncGYYatJs3GS.png', 'originalWidth': 700, 'originalHeight': 604, 'isFeatured': True}",Box Sign APIの更新,5c489a4342f7,a995c24848a3,0,217,99,1653894200850,1653981496313,0,May 2022,2,2,0,0,False,38,0,,PostStat
6e1b9d5e65ba,box-sign-api-updates,"{'id': '0*f7UkDTYw-Z-FtEUf.png', 'originalWidth': 1400, 'originalHeight': 1208, 'isFeatured': True}",Box Sign API Updates,246952a91969,a995c24848a3,0,170,120,1652194156036,1653676034192,0,May 2022,2,1,0,0,False,64,0,,PostStat
778804b4327b,新しいユーザーアバターapi,"{'id': '0*7E3St4L0GUVlL90R.png', 'originalWidth': 1400, 'originalHeight': 462, 'isFeatured': True}",新しいユーザーアバターAPI,5c489a4342f7,a995c24848a3,1,72,48,1653535666743,1653583682982,0,May 2022,2,1,1,0,False,16,0,,PostStat
bfd47ea7367d,new-user-avatar-apis,"{'id': '1*XPpP5ho6rXAZVMsJJtyZqA.png', 'originalWidth': 2610, 'originalHeight': 862, 'isFeatured': True}",New User Avatar APIs,a2fa124ab01d,a995c24848a3,0,111,90,1653322402557,1653405505105,0,May 2022,1,2,0,0,False,33,0,,PostStat
3b117de84667,新しい編集可能な共有リンクapi,"{'id': '0*9FJTG86omH5bIZw3.png', 'originalWidth': 1344, 'originalHeight': 1211, 'isFeatured': True}",新しい編集可能な共有リンクAPI,5c489a4342f7,a995c24848a3,0,79,56,1652316715245,1652365163392,0,May 2022,1,1,0,0,False,20,0,,PostStat
53db96a5a0e0,oauth-2-0カスタムアプリケーションの有効化,"{'id': '0*FOCMAZzUorwW4aoI.png', 'originalWidth': 1400, 'originalHeight': 483, 'isFeatured': True}",OAuth 2.0カスタムアプリケーションの有効化,6ff2f502d4cd,a995c24848a3,0,93,62,1652228231485,1652277443049,0,May 2022,2,2,0,0,False,40,0,,PostStat
19e73d689efb,new-editable-shared-links-api,"{'id': '1*NNt_rxOYY6JswJ7eRVCxSw.png', 'originalWidth': 1344, 'originalHeight': 1211, 'isFeatured': True}",New Editable Shared Links API,246952a91969,a995c24848a3,0,117,86,1649440109555,1651846050300,0,May 2022,1,1,0,0,False,25,0,,PostStat
fd17b7a30ea3,oauth-2-0-custom-application-enablement,"{'id': '1*OSlfRFVIB_AnD7wBLbBfZA.png', 'originalWidth': 1858, 'originalHeight': 642, 'isFeatured': True}",OAuth 2.0 Custom Application Enablement,a2fa124ab01d,a995c24848a3,0,248,178,1650957593962,1651163410696,0,April 2022,2,0,0,0,False,109,0,,PostStat
1ea8934d48e6,新しいbox-app-center-旧アプリギャラリー-のリリース,"{'id': '0*6ccVCCcav3Lzbozd.png', 'originalWidth': 1400, 'originalHeight': 709, 'isFeatured': True}",新しいBox App Center (旧アプリギャラリー) のリリース,6ff2f502d4cd,a995c24848a3,0,206,137,1650257071120,1650564701736,0,April 2022,2,0,0,0,False,53,0,,PostStat
